1;1943-1946;Областной земельный отдел
;1947-1953;Областное управление сельского хозяйства
;1953;Областное управление сельского хозяйства и заготовок
;1954-1961;Областное управление сельского хозяйства
;1962-1964;Ростовское областное управление производства и  заготовок продуктов
;1965-1974;Ростовское областное управление сельского хозяйства
;1975-март 1986;Производственное управление сельского хозяйства Ростоблисполкома
;апр1986-1989;Агропромышленный комитет Ростовской области
;1990-март 1992;Союз агропромышленных формирований Ростовской области
;март1992-нояб1996;Департамент сельского хозяйства и продовольствия Администрации Ростовской области
;нояб1996-октяб1998;Министерство сельского хозяйства, продовольствия и торговли Ростовской области
;окт.98;Министерство сельского хозяйства и продовольствия Ростовской области
2;1954-1957;Каменское областное управление сельского хозяйства
3;1928-1944;Управление военно-конными заводами Красной Армии
;1944-1948;Центральное управление военно-конными заводами НКО СССР
;1948-1952;Северо-Кавказский трест конных заводов МСХ
;1952-1953;Центральное управление военно-конными заводами
;1953-1962;Северо-Кавказский трест конных заводов
4;1941-1946;Управление землеустройства Областного земельного отдела
;1947-1955;Управление землеустройства и севооборотов Ростовского областного управления сельского хозяйства
;1956-1957;Отдел землеустройства областного управления сельского хозяйства
;1957-1959;Управление землеустройства областного управления сельского хозяйства
;1960-1961;Отдел землеустройства областного управления сельского хозяйства
5;1950-1953;Областное управление хлопководства
6;1946;Стройплощадка треста Севкавзаготстрой
;1946;Стройдвор треста Севкавзаготстрой
;1947-1951;Ростовский строительный комбинат треста Севкавзаготстрой
;1952-1956;Ростовский строительный комбинат треста Заготстройдеталь
;янв-июль 1957;Ростовский строительный комбинат треста Элеватормельстройдеталь
;авг1957-1961;Ростовский строительный комбинат треста Севкавхлебстрой
;янв-ноябрь 1962;Ростовский стройкомбинат треста Севкавэлеватормельстрой
;дек 1962-1970;Ростовский стройкомбинат треста Спецэлеватормельмаш
7;1943-1946;Областной трест машино-тракторных мастерских и ремонтных заводов Областного земельного отдела
;1947-1951;Областной трест машино-тракторных мастерских и ремон-тных заводов Областного управления сельского хозяйства
;1952-июнь1953;Ростовский областной трест  ремонтных заводов и межрайонных мастерских капитального ремонта Ремтрест Областного управления сельского хозяйства
;июнь 1953-1959;Управление ремонтными предприятиями Областного управления сельского хозяйства
8;1956-1957;Каменское областное управление ремонтными предприятиями
9;март1943-июнь1946;Ростовский трест зерновых и животноводческих совхозов НК СХ СССР
;июнь1946-май1953;Ростовский зернотрест Министерства земледелия СССР, Министерства совхозов СССР 
;май1953-окт1953;Управление совхозов Юга
;окт1953-апр1954;Ростовский трест Южных совхозов Министерства совхозов СССР
10;ноя.53;Северное управление совхозов Ростовской области
;нояб1953-март1954;Ростовский Северный трест совхозов
;апр1954-май1955;Каменский трест совхозов
;июнь1955июль1957;Каменское областное управление совхозов Министерства совхозов РСФСР
11;1972-1975;Ростовский областной сельскохозяйственный информационно- вычислительный центр АСУ-сельхоз Министерства сельского хозяйства РСФСР
;1986-1991;Информационно-вычислительный центр Агропрома Ростовской области
12;1945-1953;Ростовский трест животноводческих совхозов
13;1947-1953;Ростовский овцетрест
;1967-1975;Ростовский трест овцеводческих совхозов
;1975-1983;Ростовский трест Овцепром
14;1959-1962;Ростовский трест овощеводческих совхозов
;1967-1972;Ростовский трест овощеводческих совхозов Ростовского областного производственного объединения совхозов Министерства совхозов РСФСР
;1973-1980;Ростовский трест овощеводческих совхозов Министерства сельского хозяйства РСФСР
;1981-1983;Трест Овощепром Республиканского производственного объединения по производству и сбыту овощей Овощепрома РСФСР Министерства плодоовощного хозяйства РСФСР-документы хранятся  на Советской 55/2
15;сент1961-дек1969;Ростовская землеустроительная экспедиция Республиканского института Росгипрозем
;дек1969-1971;Ростовское отделение Республиканского института Росгипрозем
16;1941-окт1946;Ростовское отделение Всесоюзной конторы Союзмелиострой НКСХ СССР
;окт1946-1948;Ростовская межобластная контора Союзмелиострой Министерства животноводства СССР
;1948-1954;Ростовская межобластная контора по землеустройству Министерства совхозов СССР(землеустроительная контора)
;1955-1961;Ростовская межобластная контора по землеустройству Министерства совхозов РСФСР
;1962-1973;Южный филиал Республиканского проектного института по землеустройству Росгипрозем Министерства производства и заготовок сельхозпродуктов РСФСР
;1974-1981;Южный филиал Республиканского проектного института по землеустройству Росгипрозем Министерства сельского хозяйства РСФСР
;1981-1986;Южный государственный проектный институт по землеустройству Южгипрозем объединения Росземпроект Министерства сельского хозяйства РСФСР
